1;Bomba;4.53;11
1;Furnas;6.00;11
2;Irr 01;0.91;1
2;Irr 02;0.91;1
2;Irr 03;0.91;1
2;Irr 04;0.91;1
2;Irr 05;0.91;1
2;Irr 06;0.91;1
2;Irr 07;0.91;1
3;Irr 08;0.91;1
3;Irr 09;0.91;1
3;Irr 10;0.91;1
3;Irr 11;0.91;1
3;Irr 12;0.91;1
3;Irr 13;0.91;1
3;Irr 14;0.91;1
3;Irr 15;0.91;1
4;Irr 16;0.91;1
4;Irr 17;0.91;1
4;Irr 18;0.91;1
4;Irr 19;0.91;1
4;Irr 20;0.91;1
4;Irr 21;0.91;1
4;Irr 22;0.91;1
4;Irr 23;0.91;1
5;Irr 24;0.91;1
5;Irr 25;0.91;1
5;Irr 26;0.91;1
5;Irr 27;0.91;1
5;Irr 28;0.91;1
5;Irr 29;0.91;1
5;Irr 30;0.91;1
6;MA 1;0.91;6
6;MA 2;0.91;6
6;MA 3;0.91;6
7;Rio 1;7.21;6
7;Rio2;7.55;6
8;Tir 1;8.76;11
8;Tir 2;6.56;11
8;Tir 3;6.08;11
8;Tir 4;6.44;11
9;set/01;4.75;12
9;set/02;4.17;12
9;set/03;6.58;12
9;set/04;7.07;12
10;set/05;7.80;12
10;set/06;7.91;12
10;set/07;8.09;12
10;set/08;8.40;12
10;set/09;7.65;12
10;set/10;8.76;12
10;set/11;9.03;12
10;set/12;8.08;12
10;set/13;8.69;12
11;Renato 1;12.14;12
11;Renato 2;14.01;12